date,rep_app,dem_app,ind_app,idate,presName,dop,inparty_app,President
4/2/53,84,60,65,20/1/53,Eisenhower,15,84,1
26/2/53,85,57,68,20/1/53,Eisenhower,37,85,1
1/4/53,87,64,74,20/1/53,Eisenhower,71,87,1
23/4/53,87,64,72,20/1/53,Eisenhower,93,87,1
13/5/53,89,64,76,20/1/53,Eisenhower,113,89,1
8/7/53,87,56,68,20/1/53,Eisenhower,169,87,1
29/7/53,91,63,70,20/1/53,Eisenhower,190,91,1
19/8/53,90,60,75,20/1/53,Eisenhower,211,90,1
16/9/53,84,48,60,20/1/53,Eisenhower,239,84,1
13/10/53,89,49,64,20/1/53,Eisenhower,266,89,1
4/11/53,84,44,65,20/1/53,Eisenhower,288,84,1
23/11/53,84,42,62,20/1/53,Eisenhower,307,84,1
15/12/53,91,54,66,20/1/53,Eisenhower,329,91,1
14/2/61,52,85,67,20/1/61,Kennedy,25,85,2
14/3/61,60,85,69,20/1/61,Kennedy,53,85,2
10/4/61,63,89,75,20/1/61,Kennedy,80,89,2
8/5/61,60,89,75,20/1/61,Kennedy,108,89,2
21/5/61,57,86,68,20/1/61,Kennedy,121,86,2
1/6/61,55,87,68,20/1/61,Kennedy,132,87,2
27/6/61,56,84,64,20/1/61,Kennedy,158,84,2
31/7/61,60,86,70,20/1/61,Kennedy,192,86,2
28/8/61,59,88,70,20/1/61,Kennedy,220,88,2
25/9/61,61,87,78,20/1/61,Kennedy,248,87,2
23/10/61,57,90,75,20/1/61,Kennedy,276,90,2
21/11/61,64,89,73,20/1/61,Kennedy,305,89,2
11/12/61,55,88,80,20/1/61,Kennedy,325,88,2
9/12/63,78,82,71,22/11/63,Johnson,17,82,3
16/12/63,67,77,71,22/11/63,Johnson,24,77,3
6/1/64,73,82,70,22/11/63,Johnson,45,82,3
4/2/64,66,82,75,22/11/63,Johnson,74,82,3
17/2/64,63,84,67,22/11/63,Johnson,87,84,3
3/3/64,70,86,74,22/11/63,Johnson,102,86,3
17/3/64,67,87,70,22/11/63,Johnson,116,87,3
31/3/64,60,83,76,22/11/63,Johnson,130,83,3
28/4/64,67,82,69,22/11/63,Johnson,158,82,3
10/5/64,61,84,70,22/11/63,Johnson,170,84,3
26/5/64,62,82,68,22/11/63,Johnson,186,82,3
8/6/64,60,84,67,22/11/63,Johnson,199,84,3
15/6/64,53,87,68,22/11/63,Johnson,206,87,3
29/6/64,61,86,63,22/11/63,Johnson,220,86,3
27/1/69,80,45,59,20/1/69,Nixon,7,80,4
24/2/69,76,52,56,20/1/69,Nixon,35,76,4
16/3/69,84,55,65,20/1/69,Nixon,55,84,4
31/3/69,84,51,60,20/1/69,Nixon,70,84,4
14/4/69,84,45,61,20/1/69,Nixon,84,84,4
5/5/69,83,49,60,20/1/69,Nixon,105,83,4
19/5/69,83,56,64,20/1/69,Nixon,119,83,4
26/5/69,84,50,61,20/1/69,Nixon,126,84,4
23/6/69,83,52,61,20/1/69,Nixon,154,83,4
14/7/69,79,45,57,20/1/69,Nixon,175,79,4
28/7/69,86,51,66,20/1/69,Nixon,189,86,4
18/8/69,80,52,63,20/1/69,Nixon,210,80,4
15/9/69,82,47,57,20/1/69,Nixon,238,82,4
21/9/69,81,45,56,20/1/69,Nixon,244,81,4
6/10/69,79,43,60,20/1/69,Nixon,259,79,4
21/10/69,81,43,54,20/1/69,Nixon,274,81,4
16/11/69,87,54,65,20/1/69,Nixon,300,87,4
14/12/69,85,44,60,20/1/69,Nixon,328,85,4
4/1/70,80,47,63,20/1/69,Nixon,349,80,4
18/8/74,77,68,70,9/8/74,Ford,9,77,5
8/9/74,77,61,66,9/8/74,Ford,30,77,5
29/9/74,65,43,52,9/8/74,Ford,51,65,5
13/10/74,73,42,53,9/8/74,Ford,65,73,5
20/10/74,73,44,56,9/8/74,Ford,72,73,5
10/11/74,72,37,47,9/8/74,Ford,93,72,5
17/11/74,67,41,48,9/8/74,Ford,100,67,5
8/12/74,60,32,43,9/8/74,Ford,121,60,5
12/1/75,57,31,35,9/8/74,Ford,156,57,5
2/2/75,63,28,38,9/8/74,Ford,177,63,5
1/3/75,60,29,38,9/8/74,Ford,204,60,5
